settlement_id,name,admin1,admin2,population,num_buildings,distance_to_grid_km,has_health,has_education,has_nightlight,demand_tier,final_connections,final_demand_mwh,grid_lcoe,minigrid_lcoe,shs_lcoe,grid_cost_per_conn,minigrid_cost_per_conn,shs_cost_per_conn,least_cost_technology,least_cost_lcoe,priority_score
12776,Béroubouay,Borgou,Bembereke,180,70,5.65,0,0,0,Tier2,52.2,8.07,2552.81,1881.62,1137.98,958.07,627.67,400.0,SHS,1137.98,0.1487
6252,Savalou,Collines,Savalou,88,34,53.8,0,0,1,Tier1,25.5,1.19,,5798.61,3093.68,,456.51,150.0,SHS,3093.68,0.0728
9477,Copargo,Donga,Copargo,90,35,0.44,0,0,0,Tier3,26.1,20.18,230.04,889.21,694.22,316.8,1705.69,1500.0,Grid,230.04,0.3069
12752,Location #5638,Atakora,Kobli,168,65,47.01,0,0,0,Tier2,48.7,7.53,23433.36,2293.9,1787.96,6952.28,587.51,400.0,SHS,1787.96,0.0862
14161,Location #8287,Atakora,Materi,103,40,4.78,0,0,0,Tier3,29.9,23.09,771.82,957.04,835.31,1320.4,1538.34,1500.0,Grid,771.82,0.1926
4594,Bohicon,Zou,Zogbodomey,464,180,5.8,0,0,0,Tier2,134.6,20.81,1381.38,1881.62,1138.78,501.6,627.67,400.0,SHS,1138.78,0.1599
4867,Location #473,Zou,Za-Kpota,3339,990,1.47,0,1,0,Tier4,968.5,1497.16,139.3,792.6,,210.6,3011.37,,Grid,139.3,0.5535
7396,Sourou Tawi,Donga,Bassila,64,25,45.52,0,1,0,Tier2,18.6,2.87,58386.46,2293.9,1777.19,17364.1,587.51,400.0,SHS,1777.19,0.1843
7165,Ouèssè,Collines,Ouesse,1090,423,6.25,0,1,0,Tier3,316.2,244.37,267.82,957.04,836.94,338.42,1538.34,1500.0,Grid,267.82,0.4307
2357,Adido,Ouémé,Bonou,124,48,8.62,0,1,0,Tier2,36.0,5.56,4911.41,1881.62,1154.37,1877.14,627.67,400.0,SHS,1154.37,0.242
8811,Parakou,Borgou,N'dali,160,62,9.35,0,0,0,Tier2,46.4,7.17,4225.42,1881.62,1158.41,1609.83,627.67,400.0,SHS,1158.41,0.1424
3984,Location #836,Kouffo,Klouekanme,1477,573,2.86,0,0,0,Tier3,428.4,331.13,220.75,957.04,833.18,246.71,1538.34,1500.0,Grid,220.75,0.3606
13135,Location #14075,Alibori,Gogounou,49,19,7.18,0,0,0,Tier2,14.2,2.2,9686.29,,1146.44,3737.76,,400.0,SHS,1146.44,0.1412
13286,Location #14553,Alibori,Gogounou,49,19,7.34,0,0,0,Tier2,14.2,2.2,9890.3,,1147.33,3817.26,,400.0,SHS,1147.33,0.1409
5089,Dassa-Zoumé,Zou,Zagnanado,407,158,13.58,0,0,0,Tier2,118.1,18.25,3153.77,2130.87,1401.98,1005.02,600.89,400.0,SHS,1401.98,0.1459
5912,Savalou,Collines,Savalou,425,165,51.39,0,0,0,Tier2,123.3,19.06,,2293.9,1819.69,,587.51,400.0,SHS,1819.69,0.0899
11946,Manta,Atakora,Boukombe,64,25,25.94,0,0,0,Tier1,18.6,0.86,100933.47,5309.13,2198.68,9982.36,460.54,150.0,SHS,2198.68,0.1136
9863,Tchaourou,Borgou,Tchaourou,168,65,15.09,0,0,0,Tier2,48.7,7.53,7300.99,2130.87,1411.89,2367.28,600.89,400.0,SHS,1411.89,0.1341
901,Gbékandji,Ouémé,Adjohoun,155,60,1.75,0,0,0,Tier3,45.0,34.75,297.05,889.21,695.44,473.0,1705.69,1500.0,Grid,297.05,0.2942
8962,Kpébié,Borgou,Perere,62,24,27.0,0,0,0,Tier1,18.0,0.84,108278.0,5309.13,2221.71,10709.41,460.54,150.0,SHS,2221.71,0.112
8617,Djougou,Donga,Djougou,98,38,6.27,0,0,0,Tier2,28.4,4.39,4567.97,1881.62,1141.37,1743.31,627.67,400.0,SHS,1141.37,0.1445
1590,Location #10983,Ouémé,Dangbo,70,27,1.89,0,0,0,Tier3,20.3,15.69,459.6,889.21,695.57,851.87,1705.69,1500.0,Grid,459.6,0.258
11841,Gando Namoni,Atakora,Boukombe,39,15,58.33,0,0,0,Tier1,11.3,0.53,,,3202.37,,,150.0,SHS,3202.37,0.0641
4554,Pobè,Plateau,Pobe,101,39,7.58,0,0,0,Tier2,29.3,4.53,5254.08,1881.62,1148.62,2010.67,627.67,400.0,SHS,1148.62,0.1427
2409,Atchonsa,Ouémé,Bonou,77,30,12.1,0,0,0,Tier2,22.3,3.45,12249.05,2130.87,1392.29,3992.6,600.89,400.0,SHS,1392.29,0.1349
